slug	rawpath	technique	family	severity	tags	source_sha256	review_status
http-attacks-host-header	Web attacks/Web Attacks/HTTP Attacks/Host-Header.md	Host-Header	http-protocol	medium		7188c6781e9f44dc5114b9beb6fd4c757f620dbf70edb2e99a846b2154b25a10	imported-unreviewed
http-attacks-http-2-downgrading	Web attacks/Web Attacks/HTTP Attacks/HTTP 2 Downgrading.md	HTTP/2 Downgrading	http-protocol	medium		24d08d70315cc3e081d901e0486d9869e9183c2b572525b7dd63fe892cf8a0a6	imported-unreviewed
http-attacks-http-2-downgrading-further-h2-vulnerabilities	Web attacks/Web Attacks/HTTP Attacks/HTTP 2 Downgrading/Further H2 Vulnerabilities.md	Further H2 Vulnerabilities	http-protocol	medium		6be8bcdd04cc4ecc43ba28e4756d9c6f2750ae7e1141f3da18f3ecb319fbe147	imported-unreviewed
http-attacks-http-2-downgrading-http-2-downgrading	Web attacks/Web Attacks/HTTP Attacks/HTTP 2 Downgrading/HTTP 2 Downgrading.md	HTTP/2 Downgrading	http-protocol	medium		1dd7efdc6288c2ff7afaaa436c7b0b2beaf36d6dc0d383b719f16ca1920298ef	imported-unreviewed
http-attacks-http-2-downgrading-introduction-to-http2	Web attacks/Web Attacks/HTTP Attacks/HTTP 2 Downgrading/Introduction to HTTP2.md	Introduction to HTTP2	http-protocol	medium		0d6f3f4a94f052701a42180260ef21c5544bed4e593593817bc1a655a9a0f0e1	imported-unreviewed
http-attacks-http-2-downgrading-tools-and-prevention	Web attacks/Web Attacks/HTTP Attacks/HTTP 2 Downgrading/Tools & Prevention.md	Tools & Prevention	http-protocol	medium		582e6902aad60be3912c183abd777a47ed9137bc393953dec84ae96e2eabf95e	imported-unreviewed
http-attacks-password-reset	Web attacks/Web Attacks/HTTP Attacks/Password Reset.md	Password Reset	auth-session	medium		7b8f39f83502a7226d1e35f5b660f6ca0073bb817a9ba0cdf83d4f74c4000eb5	imported-unreviewed
http-attacks-request-smuggling-and-http-desync	Web attacks/Web Attacks/HTTP Attacks/Request Smuggling & HTTP Desync.md	Request Smuggling & HTTP Desync	http-protocol	high		c64a7ad05f5e9b4ed0718cc28d22122116a8839adc0d53521af3386f2f14338b	imported-unreviewed
http-attacks-tls-attacks	Web attacks/Web Attacks/HTTP Attacks/TLS-Attacks.md	TLS-Attacks	http-protocol	low		4518e15fba00e2b3e5beebb15918253351532804e3382595868bf48309087000	imported-unreviewed
http-attacks-tls-attacks-bleichenbacher-and-drown	Web attacks/Web Attacks/HTTP Attacks/TLS-Attacks/Bleichenbacher & DROWN.md	Bleichenbacher & DROWN	http-protocol	low		7a1e978c07c98bb0484e38da586ff6bbdd81395613e2dac9b37f304d3270c3a9	imported-unreviewed
